WARD,MTEA,Other,total_votes,per_MTEA,per_Other,sway
1,227,214,441,0.5147392290249433,0.4852607709750567,2.947845804988658
2,30,42,72,0.4166666666666667,0.5833333333333334,-16.666666666666668
3,247,256,503,0.49105367793240556,0.5089463220675944,-1.7892644135188818
4,465,340,805,0.577639751552795,0.422360248447205,15.527950310559003
5,201,144,345,0.5826086956521739,0.41739130434782606,16.52173913043478
6,446,418,864,0.5162037037037037,0.4837962962962963,3.240740740740744
7,109,83,192,0.5677083333333334,0.4322916666666667,13.541666666666668
8,431,399,830,0.519277108433735,0.4807228915662651,3.8554216867469906
9,208,190,398,0.5226130653266332,0.47738693467336685,4.522613065326636
10,324,301,625,0.5184,0.4816,3.6799999999999997
11,220,208,428,0.514018691588785,0.48598130841121495,2.803738317757004
12,122,148,270,0.45185185185185184,0.5481481481481482,-9.629629629629633
13,96,112,208,0.46153846153846156,0.5384615384615384,-7.692307692307687
14,221,192,413,0.5351089588377724,0.4648910411622276,7.021791767554481
15,250,195,445,0.5617977528089888,0.43820224719101125,12.359550561797755
16,268,260,528,0.5075757575757576,0.49242424242424243,1.5151515151515138
17,168,152,320,0.525,0.475,5.000000000000004
18,208,243,451,0.4611973392461197,0.5388026607538803,-7.760532150776056
19,117,94,211,0.5545023696682464,0.44549763033175355,10.900473933649286
20,154,211,365,0.42191780821917807,0.5780821917808219,-15.61643835616438
21,118,131,249,0.4738955823293173,0.5261044176706827,-5.2208835341365445
22,114,134,248,0.4596774193548387,0.5403225806451613,-8.064516129032256
23,37,42,79,0.46835443037974683,0.5316455696202531,-6.329113924050628
24,15,15,30,0.5,0.5,0
25,93,96,189,0.49206349206349204,0.5079365079365079,-1.5873015873015872
26,112,108,220,0.509090909090909,0.4909090909090909,1.8181818181818132
27,105,88,193,0.5440414507772021,0.45595854922279794,8.808290155440417
28,11,5,16,0.6875,0.3125,37.5
29,38,33,71,0.5352112676056338,0.4647887323943662,7.0422535211267565
30,149,87,236,0.6313559322033898,0.3686440677966102,26.271186440677962
31,72,60,132,0.5454545454545454,0.45454545454545453,9.090909090909088
32,273,289,562,0.48576512455516013,0.5142348754448398,-2.8469750889679677
33,616,579,1195,0.5154811715481171,0.4845188284518828,3.09623430962343
34,207,200,407,0.5085995085995086,0.4914004914004914,1.719901719901723
35,166,170,336,0.49404761904761907,0.5059523809523809,-1.1904761904761862
36,147,148,295,0.49830508474576274,0.5016949152542373,-0.3389830508474523
37,66,70,136,0.4852941176470588,0.5147058823529411,-2.94117647058823
38,65,107,172,0.37790697674418605,0.622093023255814,-24.418604651162788
39,119,141,260,0.4576923076923077,0.5423076923076923,-8.46153846153846
40,82,97,179,0.4581005586592179,0.5418994413407822,-8.379888268156426
41,95,102,197,0.48223350253807107,0.5177664974619289,-3.5532994923857864
42,156,170,326,0.4785276073619632,0.5214723926380368,-4.294478527607359
43,33,30,63,0.5238095238095238,0.47619047619047616,4.761904761904767
44,177,183,360,0.49166666666666664,0.5083333333333333,-1.6666666666666663
45,150,106,256,0.5859375,0.4140625,17.1875
46,58,44,102,0.5686274509803921,0.43137254901960786,13.725490196078427
47,119,67,186,0.6397849462365591,0.3602150537634409,27.956989247311824
48,123,45,168,0.7321428571428571,0.26785714285714285,46.42857142857142
49,133,57,190,0.7,0.3,40
50,90,42,132,0.6818181818181818,0.3181818181818182,36.36363636363636
51,72,49,121,0.5950413223140496,0.4049586776859504,19.00826446280992
52,135,88,223,0.6053811659192825,0.39461883408071746,21.076233183856502
53,71,38,109,0.6513761467889908,0.3486238532110092,30.27522935779816
54,90,45,135,0.6666666666666666,0.3333333333333333,33.33333333333333
55,321,200,521,0.6161228406909789,0.3838771593090211,23.224568138195778
56,152,77,229,0.6637554585152838,0.33624454148471616,32.751091703056765
57,187,112,299,0.6254180602006689,0.3745819397993311,25.083612040133787
58,119,74,193,0.616580310880829,0.38341968911917096,23.316062176165804
59,353,211,564,0.625886524822695,0.374113475177305,25.177304964539005
60,171,109,280,0.6107142857142858,0.3892857142857143,22.142857142857146
61,143,91,234,0.6111111111111112,0.3888888888888889,22.222222222222225
62,106,41,147,0.7210884353741497,0.2789115646258503,44.21768707482994
63,110,52,162,0.6790123456790124,0.32098765432098764,35.802469135802475
64,220,107,327,0.672782874617737,0.327217125382263,34.5565749235474
65,277,145,422,0.6563981042654028,0.34360189573459715,31.279620853080566
66,140,53,193,0.7253886010362695,0.27461139896373055,45.07772020725389
67,102,42,144,0.7083333333333334,0.2916666666666667,41.66666666666667
68,239,159,398,0.6005025125628141,0.39949748743718594,20.100502512562812
69,148,93,241,0.6141078838174274,0.38589211618257263,22.821576763485478
70,231,261,492,0.4695121951219512,0.5304878048780488,-6.0975609756097615
71,169,99,268,0.6305970149253731,0.3694029850746269,26.119402985074625
72,145,214,359,0.403899721448468,0.596100278551532,-19.220055710306404
73,181,172,353,0.5127478753541076,0.48725212464589235,2.5495750708215246
74,120,140,260,0.46153846153846156,0.5384615384615384,-7.692307692307687
75,171,166,337,0.5074183976261127,0.49258160237388726,1.4836795252225476
76,118,121,239,0.49372384937238495,0.5062761506276151,-1.2552301255230158
77,114,104,218,0.5229357798165137,0.47706422018348627,4.587155963302747
78,238,221,459,0.5185185185185185,0.48148148148148145,3.7037037037037033
79,242,218,460,0.5260869565217391,0.47391304347826085,5.2173913043478235
80,445,373,818,0.5440097799511002,0.4559902200488998,8.801955990220044
81,207,142,349,0.5931232091690545,0.4068767908309456,18.62464183381089
82,332,230,562,0.5907473309608541,0.4092526690391459,18.149466192170816
83,348,206,554,0.628158844765343,0.37184115523465705,25.631768953068594
84,218,167,385,0.5662337662337662,0.43376623376623374,13.246753246753245
85,448,221,669,0.6696562032884903,0.3303437967115097,33.931240657698055
86,393,214,607,0.6474464579901154,0.3525535420098847,29.489291598023065
87,239,156,395,0.6050632911392405,0.3949367088607595,21.012658227848103
88,311,167,478,0.6506276150627615,0.3493723849372385,30.125523012552296
89,267,230,497,0.5372233400402414,0.46277665995975853,7.444668008048288
90,284,180,464,0.6120689655172413,0.3879310344827586,22.41379310344827
91,257,227,484,0.53099173553719,0.4690082644628099,6.198347107438012
92,477,271,748,0.6377005347593583,0.3622994652406417,27.540106951871657
93,377,240,617,0.6110210696920584,0.3889789303079417,22.20421393841167
94,61,58,119,0.5126050420168067,0.48739495798319327,2.521008403361341
95,75,90,165,0.45454545454545453,0.5454545454545454,-9.090909090909088
96,335,233,568,0.5897887323943662,0.4102112676056338,17.957746478873243
97,290,255,545,0.5321100917431193,0.46788990825688076,6.422018348623854
98,238,113,351,0.6780626780626781,0.32193732193732194,35.61253561253561
99,315,204,519,0.6069364161849711,0.3930635838150289,21.387283236994215
100,206,115,321,0.6417445482866043,0.3582554517133956,28.34890965732087
101,275,113,388,0.7087628865979382,0.2912371134020619,41.75257731958763
