WARD,votes_jason_fields,votes_aycha_sawa,votes_alex_brower,votes_write_in,percent_jason_fields,percent_aycha_sawa,percent_alex_brower,percent_write_in
1,149,32,42,0,0.6681614349775785,0.14349775784753363,0.18834080717488788,0
2,16,5,9,0,0.5333333333333333,0.16666666666666666,0.3,0
3,134,77,46,1,0.5193798449612403,0.29844961240310075,0.17829457364341086,0.003875968992248062
4,257,95,65,2,0.6133651551312649,0.22673031026252982,0.15513126491646778,0.00477326968973747
5,131,44,25,1,0.6517412935323383,0.21890547263681592,0.12437810945273632,0.004975124378109453
6,258,89,95,0,0.583710407239819,0.20135746606334842,0.2149321266968326,0
7,57,18,23,0,0.5816326530612245,0.1836734693877551,0.23469387755102042,0
8,256,100,65,3,0.6037735849056604,0.2358490566037736,0.15330188679245282,0.007075471698113208
9,143,30,25,1,0.7185929648241206,0.1507537688442211,0.12562814070351758,0.005025125628140704
10,171,101,54,1,0.5229357798165137,0.308868501529052,0.1651376146788991,0.0030581039755351682
11,178,35,40,2,0.6980392156862745,0.13725490196078433,0.1568627450980392,0.00784313725490196
12,99,21,31,1,0.6513157894736842,0.13815789473684212,0.20394736842105263,0.006578947368421052
13,76,18,14,2,0.6909090909090909,0.16363636363636364,0.12727272727272726,0.01818181818181818
14,168,38,50,0,0.65625,0.1484375,0.1953125,0
15,102,71,29,0,0.504950495049505,0.35148514851485146,0.14356435643564355,0
16,241,36,58,0,0.7194029850746269,0.10746268656716418,0.17313432835820897,0
17,97,28,25,5,0.6258064516129033,0.18064516129032257,0.16129032258064516,0.03225806451612903
18,123,50,39,0,0.5801886792452831,0.2358490566037736,0.18396226415094338,0
19,71,20,21,0,0.6339285714285714,0.17857142857142858,0.1875,0
20,158,34,29,2,0.7085201793721974,0.15246636771300448,0.13004484304932734,0.008968609865470852
21,133,22,19,3,0.751412429378531,0.12429378531073447,0.10734463276836158,0.01694915254237288
22,98,27,21,1,0.6666666666666666,0.1836734693877551,0.14285714285714285,0.006802721088435374
23,43,8,7,0,0.7413793103448276,0.13793103448275862,0.1206896551724138,0
24,23,7,5,1,0.6388888888888888,0.19444444444444445,0.1388888888888889,0.027777777777777776
25,98,16,18,0,0.7424242424242424,0.12121212121212122,0.13636363636363635,0
26,86,26,12,1,0.688,0.208,0.096,0.008
27,82,20,22,2,0.6507936507936508,0.15873015873015872,0.1746031746031746,0.015873015873015872
28,18,12,3,1,0.5294117647058824,0.35294117647058826,0.08823529411764706,0.029411764705882353
29,31,13,10,0,0.5740740740740741,0.24074074074074073,0.18518518518518517,0
30,78,28,25,0,0.5954198473282443,0.21374045801526717,0.19083969465648856,0
31,52,10,17,0,0.6582278481012658,0.12658227848101267,0.21518987341772153,0
32,169,54,63,2,0.5868055555555556,0.1875,0.21875,0.006944444444444444
33,321,192,126,5,0.4984472049689441,0.2981366459627329,0.1956521739130435,0.007763975155279503
34,102,64,50,1,0.4700460829493088,0.29493087557603687,0.2304147465437788,0.004608294930875576
35,83,44,20,1,0.5608108108108109,0.2972972972972973,0.13513513513513514,0.006756756756756757
36,110,37,34,1,0.6043956043956044,0.2032967032967033,0.18681318681318682,0.005494505494505495
37,57,15,15,2,0.6404494382022472,0.16853932584269662,0.16853932584269662,0.02247191011235955
38,65,11,12,1,0.7303370786516854,0.12359550561797752,0.1348314606741573,0.011235955056179775
39,73,28,27,1,0.5658914728682171,0.21705426356589147,0.20930232558139536,0.007751937984496124
40,86,18,27,0,0.6564885496183206,0.13740458015267176,0.20610687022900764,0
41,77,19,19,1,0.6637931034482759,0.16379310344827586,0.16379310344827586,0.008620689655172414
42,133,40,25,2,0.665,0.2,0.125,0.01
43,36,13,5,0,0.6666666666666666,0.24074074074074073,0.09259259259259259,0
44,141,44,29,1,0.6558139534883721,0.20465116279069767,0.13488372093023257,0.004651162790697674
45,114,32,22,1,0.6745562130177515,0.1893491124260355,0.1301775147928994,0.005917159763313609
46,68,15,5,1,0.7640449438202247,0.16853932584269662,0.056179775280898875,0.011235955056179775
47,121,12,15,0,0.8175675675675675,0.08108108108108109,0.10135135135135136,0
48,86,18,13,0,0.7350427350427351,0.15384615384615385,0.1111111111111111,0
49,100,15,17,0,0.7575757575757576,0.11363636363636363,0.12878787878787878,0
50,76,14,9,0,0.7676767676767676,0.1414141414141414,0.09090909090909091,0
51,65,8,10,0,0.7831325301204819,0.0963855421686747,0.12048192771084337,0
52,100,18,18,1,0.7299270072992701,0.13138686131386862,0.13138686131386862,0.0072992700729927005
53,52,12,11,0,0.6933333333333334,0.16,0.14666666666666667,0
54,69,18,13,0,0.69,0.18,0.13,0
55,157,74,51,0,0.5567375886524822,0.2624113475177305,0.18085106382978725,0
56,121,22,23,2,0.7202380952380952,0.13095238095238096,0.13690476190476192,0.011904761904761904
57,130,34,23,1,0.6914893617021277,0.18085106382978725,0.12234042553191489,0.005319148936170213
58,94,17,27,1,0.6762589928057554,0.1223021582733813,0.19424460431654678,0.007194244604316547
59,272,53,47,0,0.7311827956989247,0.1424731182795699,0.12634408602150538,0
60,126,20,25,1,0.7325581395348837,0.11627906976744186,0.14534883720930233,0.005813953488372093
61,141,14,25,1,0.7790055248618785,0.07734806629834254,0.13812154696132597,0.0055248618784530384
62,76,20,17,1,0.6666666666666666,0.17543859649122806,0.14912280701754385,0.008771929824561403
63,89,19,13,2,0.7235772357723578,0.15447154471544716,0.10569105691056911,0.016260162601626018
64,185,31,36,1,0.7312252964426877,0.1225296442687747,0.1422924901185771,0.003952569169960474
65,207,33,38,1,0.7419354838709677,0.11827956989247312,0.13620071684587814,0.0035842293906810036
66,81,18,20,0,0.680672268907563,0.15126050420168066,0.16806722689075632,0
67,72,14,18,0,0.6923076923076923,0.1346153846153846,0.17307692307692307,0
68,127,51,44,1,0.5695067264573991,0.22869955156950672,0.19730941704035873,0.004484304932735426
69,113,19,26,1,0.710691823899371,0.11949685534591195,0.16352201257861634,0.006289308176100629
70,192,50,40,0,0.6808510638297872,0.1773049645390071,0.14184397163120568,0
71,103,25,22,0,0.6866666666666666,0.16666666666666666,0.14666666666666667,0
72,152,42,39,1,0.6495726495726496,0.1794871794871795,0.16666666666666666,0.004273504273504274
73,145,49,38,1,0.6223175965665236,0.21030042918454936,0.1630901287553648,0.004291845493562232
74,101,25,27,0,0.6601307189542484,0.16339869281045752,0.17647058823529413,0
75,109,41,35,0,0.5891891891891892,0.22162162162162163,0.1891891891891892,0
76,114,27,17,1,0.71698113207547165,0.16981132075471697,0.1069182389937107,0.006289308176100629
77,68,21,29,1,0.5714285714285714,0.17647058823529413,0.24369747899159663,0.008403361344537815
78,132,51,31,2,0.6111111111111112,0.2361111111111111,0.14351851851851852,0.009259259259259259
79,139,52,49,1,0.5767634854771784,0.2157676348547718,0.2033195020746888,0.004149377593360996
80,156,111,105,1,0.41823056300268097,0.2975871313672922,0.28150134048257375,0.002680965147453083
81,51,53,28,0,0.38636363636363635,0.4015151515151515,0.21212121212121213,0
82,56,113,66,2,0.23628691983122363,0.4767932489451477,0.27848101265822783,0.008438818565400843
83,98,95,55,1,0.39357429718875503,0.3815261044176707,0.22088353413654618,0.004016064257028112
