WARD,winner,votes,percent
1,jason_fields,149,0.6681614349775785
2,jason_fields,16,0.5333333333333333
3,jason_fields,134,0.5193798449612403
4,jason_fields,257,0.6133651551312649
5,jason_fields,131,0.6517412935323383
6,jason_fields,258,0.583710407239819
7,jason_fields,57,0.5816326530612245
8,jason_fields,256,0.6037735849056604
9,jason_fields,143,0.7185929648241206
10,jason_fields,171,0.5229357798165137
11,jason_fields,178,0.6980392156862745
12,jason_fields,99,0.6513157894736842
13,jason_fields,76,0.6909090909090909
14,jason_fields,168,0.65625
15,jason_fields,102,0.504950495049505
16,jason_fields,241,0.7194029850746269
17,jason_fields,97,0.6258064516129033
18,jason_fields,123,0.5801886792452831
19,jason_fields,71,0.6339285714285714
20,jason_fields,158,0.7085201793721974
21,jason_fields,133,0.751412429378531
22,jason_fields,98,0.6666666666666666
23,jason_fields,43,0.7413793103448276
24,jason_fields,23,0.6388888888888888
25,jason_fields,98,0.7424242424242424
26,jason_fields,86,0.688
27,jason_fields,82,0.6507936507936508
28,jason_fields,18,0.5294117647058824
29,jason_fields,31,0.5740740740740741
30,jason_fields,78,0.5954198473282443
31,jason_fields,52,0.6582278481012658
32,jason_fields,169,0.5868055555555556
33,jason_fields,321,0.4984472049689441
34,jason_fields,102,0.4700460829493088
35,jason_fields,83,0.5608108108108109
36,jason_fields,110,0.6043956043956044
37,jason_fields,57,0.6404494382022472
38,jason_fields,65,0.7303370786516854
39,jason_fields,73,0.5658914728682171
40,jason_fields,86,0.6564885496183206
41,jason_fields,77,0.6637931034482759
42,jason_fields,133,0.665
43,jason_fields,36,0.6666666666666666
44,jason_fields,141,0.6558139534883721
45,jason_fields,114,0.6745562130177515
46,jason_fields,68,0.7640449438202247
47,jason_fields,121,0.8175675675675675
48,jason_fields,86,0.7350427350427351
49,jason_fields,100,0.7575757575757576
50,jason_fields,76,0.7676767676767676
51,jason_fields,65,0.7831325301204819
52,jason_fields,100,0.7299270072992701
53,jason_fields,52,0.6933333333333334
54,jason_fields,69,0.69
55,jason_fields,157,0.5567375886524822
56,jason_fields,121,0.7202380952380952
57,jason_fields,130,0.6914893617021277
58,jason_fields,94,0.6762589928057554
59,jason_fields,272,0.7311827956989247
60,jason_fields,126,0.7325581395348837
61,jason_fields,141,0.7790055248618785
62,jason_fields,76,0.6666666666666666
63,jason_fields,89,0.7235772357723578
64,jason_fields,185,0.7312252964426877
65,jason_fields,207,0.7419354838709677
66,jason_fields,81,0.680672268907563
67,jason_fields,72,0.6923076923076923
68,jason_fields,127,0.5695067264573991
69,jason_fields,113,0.710691823899371
70,jason_fields,192,0.6808510638297872
71,jason_fields,103,0.6866666666666666
72,jason_fields,152,0.6495726495726496
73,jason_fields,145,0.6223175965665236
74,jason_fields,101,0.6601307189542484
75,jason_fields,109,0.5891891891891892
76,jason_fields,114,0.71698113207547165
77,jason_fields,68,0.5714285714285714
78,jason_fields,132,0.6111111111111112
