"","WARD","_2020","_2019","change"
"1","1",0.1885,0.1791,0.00939999999999999
"2","2",0.0702,0.079,-0.0088
"3","3",0.2997,0.2751,0.0246
"4","4",0.2858,0.2453,0.0405
"5","5",0.2423,0.2082,0.0341
"6","6",0.2499,0.2362,0.0137
"7","7",0.1536,0.1602,-0.00660000000000002
"8","8",0.2933,0.276,0.0173
"9","9",0.2705,0.2615,0.00900000000000001
"10","10",0.2764,0.2636,0.0128
"11","11",0.2335,0.1905,0.043
"12","12",0.1565,0.1416,0.0149
"13","13",0.2013,0.1763,0.025
"14","14",0.2487,0.1803,0.0684
"15","15",0.2807,0.3128,-0.0321
"16","16",0.2212,0.173,0.0482
"17","17",0.2378,0.2384,-0.000599999999999989
"18","18",0.229,0.2385,-0.00950000000000004
"19","19",0.1522,0.1416,0.0106
"20","20",0.2386,0.1917,0.0469
"21","21",0.1934,0.123,0.0704
"22","22",0.1879,0.1459,0.042
"23","23",0.1546,0.1069,0.0477
"24","24",0.0766,0.0366,0.04
"25","25",0.1564,0.1117,0.0447
"26","26",0.1732,0.1422,0.031
"27","27",0.1767,0.1423,0.0344
"28","28",0.1254,0.0368,0.0886
"29","29",0.1408,0.0802,0.0606
"30","30",0.1627,0.1347,0.028
"31","31",0.1191,0.0875,0.0316
"32","32",0.1958,0.1801,0.0157
"33","33",0.324,0.3074,0.0166
"34","34",0.1905,0.1794,0.0111
"35","35",0.1833,0.2021,-0.0188
"36","36",0.2192,0.1715,0.0477
"37","37",0.12,0.0803,0.0397
"38","38",0.1344,0.1234,0.011
"39","39",0.1807,0.1636,0.0171
"40","40",0.1878,0.1175,0.0703
"41","41",0.1571,0.1312,0.0259
"42","42",0.2158,0.1677,0.0481
"43","43",0.1425,0.0707,0.0718
"44","44",0.2205,0.1713,0.0492
"45","45",0.1699,0.1171,0.0528
"46","46",0.1646,0.0915,0.0731
"47","47",0.1512,0.0942,0.057
"48","48",0.2382,0.1559,0.0823
"49","49",0.1933,0.1301,0.0632
"50","50",0.1667,0.1,0.0667
"51","51",0.1467,0.0952,0.0515
"52","52",0.1578,0.1128,0.045
"53","53",0.1769,0.1223,0.0546
"54","54",0.1954,0.122,0.0734
"55","55",0.2678,0.2316,0.0362
"56","56",0.2503,0.1519,0.0984
"57","57",0.2114,0.1497,0.0617
"58","58",0.215,0.131,0.084
"59","59",0.2733,0.2005,0.0728
"60","60",0.1864,0.1408,0.0456
"61","61",0.2203,0.1331,0.0872
"62","62",0.1838,0.1027,0.0811
"63","63",0.1983,0.1124,0.0859
"64","64",0.1878,0.1174,0.0704
"65","65",0.2614,0.1903,0.0711
"66","66",0.1796,0.1307,0.0489
"67","67",0.1798,0.1127,0.0671
"68","68",0.2018,0.1663,0.0355
"69","69",0.1832,0.1258,0.0574
"70","70",0.2215,0.1858,0.0357
"71","71",0.2172,0.1826,0.0346
"72","72",0.2419,0.1726,0.0693
"73","73",0.2289,0.162,0.0669
"74","74",0.2472,0.1889,0.0583
"75","75",0.2614,0.2361,0.0253
"76","76",0.2247,0.1553,0.0694
"77","77",0.1827,0.1625,0.0202
"78","78",0.1912,0.1935,-0.0023
"79","79",0.2218,0.1974,0.0244
"80","80",0.2769,0.2792,-0.00229999999999997
"81","81",0.2407,0.3047,-0.064
"82","82",0.3204,0.3682,-0.0478
"83","83",0.2743,0.3063,-0.032
"84","84",0.2704,0.2868,-0.0164
"85","85",0.31,0.3542,-0.0442
"86","86",0.2686,0.3361,-0.0675
"87","87",0.2979,0.329,-0.0311
"88","88",0.2958,0.3018,-0.00600000000000001
"89","89",0.2481,0.2507,-0.00259999999999999
"90","90",0.2507,0.2395,0.0112
"91","91",0.2147,0.166,0.0487
"92","92",0.2745,0.2859,-0.0114
"93","93",0.3997,0.4831,-0.0834
"94","94",0.1657,0.1136,0.0521
"95","95",0.2013,0.1426,0.0587
"96","96",0.2922,0.2682,0.024
"97","97",0.2809,0.2911,-0.0102
"98","98",0.3324,0.2526,0.0798
"99","99",0.2947,0.2241,0.0706
"100","100",0.2693,0.2026,0.0667
"101","101",0.2424,0.1723,0.0701
"102","102",0.2658,0.1935,0.0723
"103","103",0.2253,0.1539,0.0714
"104","104",0.2035,0.1339,0.0696
"105","105",0.1696,0.088,0.0816
"106","106",0.1506,0.0773,0.0733
"107","107",0.1726,0.1343,0.0383
"108","108",0.1725,0.1179,0.0546
"109","109",0.1674,0.1046,0.0628
"110","110",0.1816,0.0751,0.1065
"111","111",0.1103,0.0641,0.0462
"112","112",0.1886,0.1001,0.0885
"113","113",0.1696,0.0968,0.0728
"114","114",0.2261,0.1518,0.0743
"115","115",0.1857,0.12,0.0657
"116","116",0.1759,0.0602,0.1157
"117","117",0.1633,0.0877,0.0756
"118","118",0.2065,0.1287,0.0778
"119","119",0.2191,0.1321,0.087
"120","120",0.1504,0.111,0.0394
"121","121",0.1606,0.1232,0.0374
"122","122",0.1777,0.1323,0.0454
"123","123",0.2154,0.2169,-0.00150000000000003
"124","124",0.1928,0.196,-0.00320000000000001
"125","125",0.4048,0.4329,-0.0281
"126","126",0.42,0.427,-0.00700000000000006
"127","127",0.2742,0.3118,-0.0376
"128","128",0.2219,0.2281,-0.00619999999999998
"129","129",0.3095,0.3232,-0.0137
"130","130",0.1128,0.1456,-0.0328
"131","131",0.3707,0.4517,-0.081
"132","132",0.4194,0.4857,-0.0663
"133","133",0.2328,0.2491,-0.0163
"134","134",0.2351,0.2552,-0.0201
"135","135",0.2896,0.2822,0.00740000000000002
"136","136",0.2247,0.2293,-0.00460000000000002
"137","137",0.3114,0.3251,-0.0137
"138","138",0.3425,0.3683,-0.0257999999999999
"139","139",0.2632,0.2526,0.0106
"140","140",0.2052,0.1599,0.0453
"141","141",0.2281,0.1882,0.0399
"142","142",0.2451,0.1474,0.0977
"143","143",0.1422,0.103,0.0392
"144","144",0.2169,0.133,0.0839
"145","145",0.1396,0.0787,0.0609
"146","146",0.1434,0.0957,0.0477
"147","147",0.131,0.0776,0.0534
"148","148",0.1774,0.1016,0.0758
"149","149",0.1246,0.0676,0.057
"150","150",0.1483,0.1034,0.0449
"151","151",0.1412,0.0983,0.0429
"152","152",0.1389,0.0785,0.0604
"153","153",0.2427,0.1644,0.0783
"154","154",0.1831,0.1379,0.0452
"155","155",0.1036,0.0473,0.0563
"156","156",0.1712,0.1179,0.0533
"157","157",0.2173,0.1643,0.053
"158","158",0.1896,0.1415,0.0481
"159","159",0.1844,0.1527,0.0317
"160","160",0.1746,0.1008,0.0738
"161","161",0.1786,0.1275,0.0511
"162","162",0.121,0.1115,0.00949999999999999
"163","163",0.1483,0.1225,0.0258
"164","164",0.2221,0.2296,-0.00749999999999998
"165","165",0.1808,0.1979,-0.0171
"166","166",0.2082,0.2566,-0.0484
"167","167",0.3631,0.3571,0.00600000000000001
"168","168",0.4018,0.4289,-0.0271
"169","169",0.1061,0.0722,0.0339
"170","170",0.125,0.089,0.036
"171","171",0.0946,0.0655,0.0291
"172","172",0.2243,0.1298,0.0945
"173","173",0.1734,0.1468,0.0266
"174","174",0.2061,0.1667,0.0394
"175","175",0.3017,0.1983,0.1034
"176","176",0.1559,0.1117,0.0442
"177","177",0.2609,0.2938,-0.0329
"178","178",0.263,0.2621,0.000900000000000012
"179","179",0.2729,0.2733,-0.000400000000000011
"180","180",0.2673,0.2937,-0.0264
"181","181",0.3863,0.4133,-0.027
"182","182",0.2561,0.2686,-0.0125
"183","183",0.2234,0.2409,-0.0175
"184","184",0.271,0.2894,-0.0184
"185","185",0.2209,0.2517,-0.0308
"186","186",0.2039,0.2539,-0.05
"187","187",0.2021,0.1573,0.0448
"188","188",0.1897,0.2262,-0.0365
"189","189",0.22,0.1845,0.0355
"190","190",0.1313,0.1001,0.0312
"191","191",0.0712,0.0565,0.0147
"192","192",0.0522,0.0322,0.02
"193","193",0.181,0.1407,0.0403
"194","194",0.1399,0.1234,0.0165
"195","195",0.149,0.0863,0.0627
"196","196",0.1173,0.1031,0.0142
"197","197",0.1818,0.1411,0.0407
"198","198",0.141,0.1419,-0.000900000000000012
"199","199",0.3349,0.2409,0.094
"200","200",0.1812,0.1637,0.0175
"201","201",0.15,0.121,0.029
"202","202",0.3083,0.3031,0.00519999999999998
"203","203",0.3803,0.4079,-0.0276
"204","204",0.3208,0.3888,-0.0680000000000001
"205","205",0.3349,0.3922,-0.0573
"206","206",0.437,0.4748,-0.0377999999999999
"207","207",0.2346,0.2677,-0.0331
"208","208",0.2624,0.3232,-0.0608
"209","209",0.3059,0.3753,-0.0694
"210","210",0.2276,0.2783,-0.0507
"211","211",0.2254,0.2667,-0.0413
"212","212",0.1691,0.2113,-0.0422
"213","213",0.2197,0.2532,-0.0335
"214","214",0.2872,0.2843,0.00290000000000001
"215","215",0.1473,0.0878,0.0595
"216","216",0.1421,0.1017,0.0404
"217","217",0.1537,0.1351,0.0186
"218","218",0.1989,0.1351,0.0638
"219","219",0.173,0.1228,0.0502
"220","220",0.1689,0.1787,-0.0098
"221","221",0.2583,0.2086,0.0497
"222","222",0.1256,0.0847,0.0409
"223","223",0.1505,0.128,0.0225
"224","224",0.0784,0.0647,0.0137
"225","225",0.0946,0.0787,0.0159
"226","226",0.1117,0.1237,-0.012
"227","227",0.1732,0.1404,0.0328
"228","228",0.0823,0.0744,0.00789999999999999
"229","229",0.0539,0.0508,0.0031
"230","230",0.1204,0.1157,0.0047
"231","231",0.0657,0.0687,-0.00299999999999999
"232","232",0.0613,0.0588,0.0025
"233","233",0.0662,0.0881,-0.0219
"234","234",0.1579,0.1523,0.00559999999999999
"235","235",0.2261,0.2282,-0.00210000000000002
"236","236",0.1162,0.087,0.0292
"237","237",0.1031,0.0815,0.0216
"238","238",0.0716,0.0715,9.9999999999989e-05
"239","239",0.1211,0.1138,0.00729999999999999
"240","240",0.1331,0.1088,0.0243
"241","241",0.3198,0.308,0.0118
"242","242",0.332,0.3468,-0.0148
"243","243",0.4847,0.4791,0.00559999999999999
"244","244",0.434,0.4529,-0.0189
"245","245",0.4739,0.4723,0.00160000000000005
"246","246",0.4365,0.411,0.0255
"247","247",0.3783,0.3973,-0.019
"248","248",0.3632,0.3639,-0.000699999999999978
"249","249",0.1107,0.1204,-0.00969999999999999
"250","250",0.1225,0.1395,-0.017
"251","251",0.1407,0.1175,0.0232
"252","252",0.11,0.1291,-0.0191
"253","253",0.0889,0.0906,-0.00169999999999999
"254","254",0.0657,0.0697,-0.00399999999999999
"255","255",0.1098,0.0972,0.0126
"256","256",0.0723,0.0548,0.0175
"257","257",0.1149,0.0873,0.0276
"258","258",0.1773,0.1582,0.0191
"259","259",0.1813,0.1619,0.0194
"260","260",0.2186,0.2303,-0.0117
"261","261",0.292,0.3322,-0.0402
"262","262",0.2636,0.3291,-0.0654999999999999
"263","263",0.2302,0.253,-0.0228
"264","264",0.2749,0.3103,-0.0354
"265","265",0.2571,0.2521,0.005
"266","266",0.2418,0.304,-0.0622
"267","267",0.2319,0.2721,-0.0402
"268","268",0.228,0.2354,-0.00739999999999999
"269","269",0.2678,0.2703,-0.00249999999999995
"270","270",0.276,0.3363,-0.0603
"271","271",0.2757,0.3243,-0.0486
"272","272",0.2591,0.3054,-0.0463
"273","273",0.2256,0.2934,-0.0678
"274","274",0.2297,0.3283,-0.0986
"275","275",0.1988,0.2234,-0.0246
"276","276",0.3422,0.3579,-0.0157
"277","277",0.2383,0.2772,-0.0389
"278","278",0.206,0.2956,-0.0896
"279","279",0.2581,0.2923,-0.0342
"280","280",0.2891,0.313,-0.0239
"281","281",0.2411,0.2552,-0.0141
"282","282",0.1039,0.1195,-0.0156
"283","283",0.1444,0.1811,-0.0367
"284","284",0.1451,0.1605,-0.0154
"285","285",0.1463,0.1121,0.0342
"286","286",0.2189,0.2208,-0.00189999999999999
"287","287",0.2431,0.2575,-0.0144
"288","288",0.2113,0.2562,-0.0449
"289","289",0.2409,0.225,0.0159
"290","290",0.1262,0.1284,-0.00220000000000001
"291","291",0.1626,0.1732,-0.0106
"292","292",0.2773,0.2645,0.0128
"293","293",0.3013,0.3813,-0.08
"294","294",0.3932,0.3906,0.00259999999999999
"295","295",0.3196,0.3514,-0.0318
