school_name,overall_score,overall_rating,school_enrollment,broad_agency_type
Academy of Excellence,57.6,Meets Few Expectations,879,Private
Atlas Preparatory Academy,56.5,Meets Few Expectations,696,Private
Badger State Baptist School,72.5,Meets Expectations,57,Private
Atonement Lutheran School,79,Exceeds Expectations,364,Private
Believers in Christ Acad,67.9,Meets Expectations,216,Private
Blessed Sacrament Grade Sch,83.6,Significantly Exceeds Expectations,174,Private
Blessed Savior Catholic Sch,84.4,Significantly Exceeds Expectations,489,Private
Carter's Christian Academy,55.3,Meets Few Expectations,264,Private
Catholic East Elementary,74.5,Exceeds Expectations,196,Private
CERT School,NA,NR-DATA,15,Private
Christ-St Peter Lutheran Sch,73.6,Exceeds Expectations,161,Private
Christian Faith Acad Hi Lrng,58.6,Meets Few Expectations^,58,Private
City School,NA,NR-DATA,156,Private
Clara Mohammed School,66.3,Meets Expectations^,190,Private
Cross Trainers Academy,62,Meets Few Expectations,335,Private
Cristo Rey Jesuit Milwaukee Hi,71.6,Meets Expectations,369,Private
Destiny High,56.3,Meets Few Expectations,255,Private
Divine Destiny School,62.5,Meets Few Expectations,55,Private
Divine Savior Holy Angels Hi,88.7,Significantly Exceeds Expectations,108,Private
Early View Acad of Excellence,46.9,Fails to Meet Expectations,330,Private
Divine Mercy School,64.8,Meets Expectations,48,Private
Eastbrook Academy,88.3,Significantly Exceeds Expectations,158,Private
Dominican High,76.5,Exceeds Expectations,101,Private
Garden Homes Lutheran School,81.3,Exceeds Expectations,247,Private
Granville Lutheran School,87.7,Significantly Exceeds Expectations,264,Private
Greater Holy Temple Chr Acad,68.6,Meets Expectations^,616,Private
Hillel Academy,NA,NR-DATA,85,Private
Holy Redeemer Christian Acad,45.8,Fails to Meet Expectations,172,Private
Good Shepherds Evang Luth Sch,NA,NR-DATA,32,Private
Grace Christian Academy,64.6,Meets Expectations,157,Private
Grace Lutheran School,NA,NR-DATA,18,Private
Holy Wisdom Academy,68,Meets Expectations,230,Private
Hope Christian High,59.1,Meets Few Expectations,278,Private
Guidance Academy,NA,NR-DATA,136,Private
Hales Corners Lutheran Schools,NA,NR-DATA,97,Private
Hope Christian Sch: Caritas,85.1,Significantly Exceeds Expectations^,433,Private
Hillel Academy,NA,NR-DATA,19,Private
Hope Christian Sch: Fidelis,80.2,Exceeds Expectations^,404,Private
Hope Christian School: Fortis,71.9,Meets Expectations^,506,Private
Hope Christian School: Prima,80.5,Exceeds Expectations^,570,Private
Hope Christian School: Semper,80.1,Exceeds Expectations^,387,Private
Inst of Technology & Academics,67.6,Meets Expectations,312,Private
Jo's Learning Academy,NA,NR-DATA,50,Private
King's Academy Christian Sch,83.8,Significantly Exceeds Expectations^,209,Private
Malaika Early Learning Center,NA,NR-DATA,59,Private
Marquette University High,87.9,Significantly Exceeds Expectations,133,Private
Messmer Catholic Schools,73.1,Exceeds Expectations,1518,Private
Milwaukee Lutheran High,45.5,Fails to Meet Expectations^,716,Private
Kingdom Prep Lutheran Hi,NA,NR-DATA,50,Private
Lutheran Special Sch Hales Crn,NA,NR-DATA,17,Private
Milw Seventh Day Adventist Sch,71.7,Meets Expectations,178,Private
Martin Luther High,63.6,Meets Expectations^,331,Private
Mary Queen of Saints Catholic,82.7,Exceeds Expectations,99,Private
Mother of Good Counsel Gr Sch,82.1,Exceeds Expectations,221,Private
Mount Calvary Lutheran Gr Sch,65.5,Meets Expectations,187,Private
Mount Lebanon Lutheran School,88.9,Significantly Exceeds Expectations,170,Private
Mount Olive Lutheran Grade Sch,77.1,Exceeds Expectations,145,Private
Nativity Jesuit Academy,88.9,Significantly Exceeds Expectations^,248,Private
New Testament Christian Acad,63.6,Meets Expectations,143,Private
Northwest Catholic,77.5,Exceeds Expectations,193,Private
Northwest Lutheran Grade Sch,57.5,Meets Few Expectations^,220,Private
Notre Dame Sch of Milwaukee,87.5,Significantly Exceeds Expectations,472,Private
Our Lady Queen of Peace Gr Sch,77.1,Exceeds Expectations,160,Private
Pius XI Catholic High,71.4,Meets Expectations,444,Private
Prince of Peace School,82.8,Exceeds Expectations^,440,Private
Right Step Inc,53.6,Meets Few Expectations,91,Private
Risen Savior Evan Luth Sch,79.8,Exceeds Expectations,231,Private
Saint Adalbert Catholic Sch,86.6,Significantly Exceeds Expectations^,395,Private
Saint Anthony School,67.8,Meets Expectations,1726,Private
Saint Augustine Preparatory Ac,76.8,Exceeds Expectations,883,Private
Saint Catherine School,57.2,Meets Few Expectations,138,Private
Saint Charles Borromeo Cath,90.8,Significantly Exceeds Expectations,118,Private
Saint Coletta Day Sch of Milw,NA,NR-DATA,1,Private
Saint Gregory the Great Parish,78.6,Exceeds Expectations,209,Private
Saint Joan Antida High,69.9,Meets Expectations,156,Private
Saint John Kanty School,75.9,Exceeds Expectations,124,Private
Saint Johns Evang Lutheran Sch,89.9,Significantly Exceeds Expectations,206,Private
Saint Josaphat Parish School,73.5,Exceeds Expectations,208,Private
Saint Joseph Academy,76.2,Exceeds Expectations,459,Private
